<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
20230703,09:41:00,108897,108897,108882,108886,39,0,0
20230703,09:42:00,108886,108899,108884,108899,29,0,0
20230703,09:43:00,108899,108899,108882,108893,41,0,0
20230703,09:44:00,108892,108906,108892,108899,37,0,0
20230703,09:45:00,108898,108914,108898,108903,56,0,0
20230703,09:46:00,108903,108907,108899,108903,23,0,0
20230703,09:47:00,108903,108909,108899,108909,31,0,0
20230703,09:48:00,108909,108919,108909,108919,20,0,0
20230703,09:49:00,108919,108923,108912,108914,67,0,0
20230703,09:50:00,108915,108918,108914,108915,27,0,0
20230703,09:51:00,108915,108923,108903,108918,40,0,0
20230703,09:52:00,108918,108947,108918,108932,48,0,0
20230703,09:53:00,108933,108939,108923,108938,45,0,0
20230703,09:54:00,108938,108938,108927,108930,38,0,0
20230703,09:55:00,108930,108934,108920,108925,37,0,0
20230703,09:56:00,108925,108943,108924,108937,63,0,0
20230703,09:57:00,108937,108937,108920,108923,69,0,0
20230703,09:58:00,108923,108925,108898,108903,50,0,0
20230703,09:59:00,108903,108916,108900,108903,55,0,0
20230703,10:00:00,108903,108910,108859,108881,158,0,0
20230703,10:01:00,108884,108892,108877,108877,50,0,0
20230703,10:02:00,108877,108883,108858,108868,55,0,0
20230703,10:03:00,108868,108885,108862,108885,42,0,0
20230703,10:04:00,108885,108885,108874,108874,30,0,0
20230703,10:05:00,108874,108874,108838,108848,57,0,0
20230703,10:06:00,108848,108857,108837,108838,85,0,0
20230703,10:07:00,108841,108853,108834,108841,69,0,0
20230703,10:08:00,108841,108875,108839,108868,95,0,0
20230703,10:09:00,108867,108869,108858,108858,38,0,0
20230703,10:10:00,108858,108882,108857,108869,53,0,0
20230703,10:11:00,108869,108877,108855,108859,46,0,0
20230703,10:12:00,108859,108859,108828,108830,88,0,0
20230703,10:13:00,108830,108840,108823,108832,58,0,0
20230703,10:14:00,108832,108834,108817,108824,49,0,0
